"","Species","Latitude","Longitude","Altitude..m.a.s.l..","Sampling.Date..mm.dd.yy.","Exposition","Maturity","Plant.Growth.Form","Comments..Methods","Reference","measurement"
"1","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",70.2673
"2","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",47.8495
"3","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",85.4462
"4","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",88.4826
"5","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",76.0734
"6","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",11.4158
"7","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",70.3716
"8","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",77.9052
"9","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",61.9984
"10","Eucalyptus albopurpurea",31.767,35.2,718,"02/27/15","botanical garden (The Jerusalem Botanical Gardens, Jerusalem, Israel)","mature","mallee","angles measured at whole tree level using leveled digital photo method; leaf angles reported as differences from a horizontal surface (i.e. flat horizontal leaf = 0 degrees, vertically oriented leaf = 90 degrees).","Pisek, J., Adamson, K. (2020). A dataset of leaf inclination angles for 71 different Eucalyptus species. Data in Brief.",70.3743
