Woody,Growth,Compound,MAR,Whole_MAR,Latitude,Longitude,MAT,MAP,Site number,Name_orig
woody,Tree,S,69.49, ,43.900,-71.750,5.60,1310.00,537,Acer pensylvanicum
woody,Tree,S,62.65,62.65,43.900,-71.750,5.60,1310.00,537,Acer rubrum
woody,Tree,S,37.05,37.05,43.900,-71.750,5.60,1310.00,537,Acer saccharum
woody,Tree,S,39.54,39.54,43.900,-71.750,5.60,1310.00,537,Betula alleghaniensis (lutea)
woody,Tree,S,28.09,28.09,43.900,-71.750,5.60,1310.00,537,Betula papyrifera
woody,Tree,S,54.56,54.56,43.900,-71.750,5.60,1310.00,537,Fagus grandifolia
woody,Tree,C,18.26,,43.900,-71.750,5.60,1310.00,537,Fraxinus americana
woody,Shrub,S,61.74,61.74,43.900,-71.750,5.60,1310.00,537,Hamamelis virginiana
woody,Shrub,S,6.93,6.93,43.900,-71.750,5.60,1310.00,537,Ilex verticillata
woody,Tree,S,25.74,25.74,43.900,-71.750,5.60,1310.00,537,Populus grandidentata
woody,Tree,S,14.73,14.73,43.900,-71.750,5.60,1310.00,537,Populus tremuloides
woody,Shrub,S,16.92,16.92,43.900,-71.750,5.60,1310.00,537,Prunus pensylvanica
woody,Tree,S,55.42,55.42,43.900,-71.750,5.60,1310.00,537,Quercus rubra
woody,Tree,S,98.98,98.98,43.900,-71.750,5.60,1310.00,537,Tilia americana
woody,Shrub,S,11.37,11.37,43.900,-71.750,5.60,1310.00,537,Vaccinium fuscatum (atrococcum)
woody,Tree,S,135.5,135.5,41.630,-71.751,7.00,1140.00,530,Acer pennsylvanicum
woody,Tree,S,49.3,49.3,41.630,-71.751,7.00,1140.00,530,Acer rubrum
woody,Tree,S,47.8,47.8,41.630,-71.751,7.00,1140.00,530,Acer saccharum
woody,Tree,S,55.1,55.1,41.630,-71.751,7.00,1140.00,530,Acer spicatum
woody,Tree,S,24.4,24.4,41.630,-71.751,7.00,1140.00,530,Amelanchier laevis
woody,Tree,S,49,49,41.630,-71.751,7.00,1140.00,530,Betula lenta
woody,Tree,S,26.3,26.3,41.630,-71.751,7.00,1140.00,530,Carpinus caroliniana
woody,Tree,C,12.2,,41.630,-71.751,7.00,1140.00,530,Carya ovata
woody,Liana,C,47.8,,41.630,-71.751,7.00,1140.00,530,Clematis virginiana
woody,Shrub,S,5.5,5.5,41.630,-71.751,7.00,1140.00,530,Comptonia peregrina
woody,Shrub,S,11.5,11.5,41.630,-71.751,7.00,1140.00,530,Cornus amomum
woody,Tree,S,20.8,20.8,41.630,-71.751,7.00,1140.00,530,Crataegus sp
woody,Shrub,S,35.8,35.8,41.630,-71.751,7.00,1140.00,530,Dirca palustris
woody,Tree,S,47.5,47.5,41.630,-71.751,7.00,1140.00,530,Fagus grandifolia
woody,Tree,C,23.4,,41.630,-71.751,7.00,1140.00,530,Fraxinus americana
woody,Shrub,S,26.4,26.4,41.630,-71.751,7.00,1140.00,530,Hamamelis virginiana
woody,Tree,S,16.9,16.9,41.630,-71.751,7.00,1140.00,530,Kalmia latifolia
woody,Tree,S,79.1,79.1,41.630,-71.751,7.00,1140.00,530,Liriodendron tulipifera
woody,Tree,S,264.3,264.3,41.630,-71.751,7.00,1140.00,530,Magnolia acuminata
woody,Tree,S,13.5,13.5,41.630,-71.751,7.00,1140.00,530,Ostrya virginiana
woody,Tree,S,47,47,41.630,-71.751,7.00,1140.00,530,Populus grandidentata
woody,Tree,S,20.9,20.9,41.630,-71.751,7.00,1140.00,530,Populus tremuloides
woody,Tree,S,12.9,12.9,41.630,-71.751,7.00,1140.00,530,Prunus serotina
woody,Shrub,S,9.3,9.3,41.630,-71.751,7.00,1140.00,530,Prunus virginiana
woody,Tree,S,39.1,39.1,41.630,-71.751,7.00,1140.00,530,Quercus alba
woody,Tree,S,61,61,41.630,-71.751,7.00,1140.00,530,Quercus prinus
woody,Tree,S,50.2,50.2,41.630,-71.751,7.00,1140.00,530,Quercus rubra
woody,Tree,S,56.1,56.1,41.630,-71.751,7.00,1140.00,530,Rhododendron maximum
woody,Tree,C,25.1,,41.630,-71.751,7.00,1140.00,530,Rhus typhina
woody,Shrub,C,12.3,,41.630,-71.751,7.00,1140.00,530,Rubus allegheniensis
woody,Shrub,C,17.8,,41.630,-71.751,7.00,1140.00,530,Rubus idaeus
woody,Shrub,C,8.1,,41.630,-71.751,7.00,1140.00,530,Rubus occidentalis
woody,Tree,S,21,21,41.630,-71.751,7.00,1140.00,530,Salix discolor
woody,Shrub,S,19.8,19.8,41.630,-71.751,7.00,1140.00,530,Salix eriocephala
woody,Shrub,S,23.3,23.3,41.630,-71.751,7.00,1140.00,530,Salix lucida
woody,Tree,S,6.8,6.8,41.630,-71.751,7.00,1140.00,530,Salix nigra
woody,Shrub,S,8.7,8.7,41.630,-71.751,7.00,1140.00,530,Salix sericea
woody,Shrub,C,9.1,,41.630,-71.751,7.00,1140.00,530,Sambucus canadensis
woody,Shrub,C,45.9,,41.630,-71.751,7.00,1140.00,530,Sambucus pubens
woody,Tree,S,128.9,128.9,41.630,-71.751,7.00,1140.00,530,Sassafras albidum
woody,Tree,S,286.8,286.8,41.630,-71.751,7.00,1140.00,530,Tilia americana
woody,Tree,S,57,57,41.630,-71.751,7.00,1140.00,530,Ulmus americana
woody,Tree,S,63.8,63.8,41.630,-71.751,7.00,1140.00,530,Ulmus rubra
woody,Shrub,S,2.7,2.7,41.630,-71.751,7.00,1140.00,530,Vaccinium angustifolium
woody,Shrub,S,2.8,2.8,41.630,-71.751,7.00,1140.00,530,Vaccinium myrtilloides
woody,Shrub,S,26.9,26.9,41.630,-71.751,7.00,1140.00,530,Viburnum cassinoides
woody,Shrub,S,20.2,20.2,41.630,-71.751,7.00,1140.00,530,Viburnum recognitum
woody,Tree,S,75.87,75.87,42.495,-74.138,7.20,1070.00,538,Acer pensylvanicum
woody,Tree,S,29.69,29.69,42.495,-74.138,7.20,1070.00,538,Acer rubrum
woody,Tree,S,33.09,33.09,42.495,-74.138,7.20,1070.00,538,Acer saccharum
woody,Tree,S,18.88,18.88,42.495,-74.138,7.20,1070.00,538,Amelanchier laevis
woody,Tree,S,13.81,13.81,42.495,-74.138,7.20,1070.00,538,Aronia arbutifolia
woody,Tree,S,30.12,30.12,42.495,-74.138,7.20,1070.00,538,Betula alleghaniensis (lutea)
woody,Tree,S,26.61,26.61,42.495,-74.138,7.20,1070.00,538,Betula lenta
woody,Tree,S,36.05,36.05,42.495,-74.138,7.20,1070.00,538,Betula papyrifera
woody,Tree,S,28.07,28.07,42.495,-74.138,7.20,1070.00,538,Betula populifolia
woody,Tree,S,87.73,87.73,42.495,-74.138,7.20,1070.00,538,Castanea dentata
woody,Tree,S,8.97,8.97,42.495,-74.138,7.20,1070.00,538,Crataegus sp
woody,Tree,S,57.61,57.61,42.495,-74.138,7.20,1070.00,538,Fagus grandifolia
woody,Tree,C,41.15,,42.495,-74.138,7.20,1070.00,538,Fraxinus americana
woody,Shrub,S,44.16,44.16,42.495,-74.138,7.20,1070.00,538,Hamamelis virginiana
woody,Shrub,S,10.32,10.32,42.495,-74.138,7.20,1070.00,538,Ilex verticillata
woody,Tree,S,11.87,11.87,42.495,-74.138,7.20,1070.00,538,Kalmia latifolia
woody,Shrub,S,15.26,15.26,42.495,-74.138,7.20,1070.00,538,Lyonia ligustrina
woody,Shrub,S,5.27,5.27,42.495,-74.138,7.20,1070.00,538,Nemopanthus mucronatus
woody,Tree,S,20.5,20.5,42.495,-74.138,7.20,1070.00,538,Nyssa sylvatica
woody,Tree,S,43.29,43.29,42.495,-74.138,7.20,1070.00,538,Populus grandidentata
woody,Tree,S,30.7,30.7,42.495,-74.138,7.20,1070.00,538,Populus tremuloides
woody,Tree,S,22.99,22.99,42.495,-74.138,7.20,1070.00,538,Prunus serotina
woody,Tree,S,109.91,109.91,42.495,-74.138,7.20,1070.00,538,Quercus alba
woody,Tree,S,79.47,79.47,42.495,-74.138,7.20,1070.00,538,Quercus rubra
woody,Shrub,S,7.58,7.58,42.495,-74.138,7.20,1070.00,538,Rhododendron prinophyllum (roseum)
woody,Shrub,S,17.32,17.32,42.495,-74.138,7.20,1070.00,538,Vaccinium corymbosum
woody,Shrub,S,42.35,42.35,42.495,-74.138,7.20,1070.00,538,Viburnum recognitum
woody,Tree,S,169.63,169.63,42.510,-74.138,7.60,880.00,540,Acer pensylvanicum
woody,Tree,S,43.36,43.36,42.510,-74.138,7.60,880.00,540,Acer rubrum
woody,Tree,S,34.63,34.63,42.510,-74.138,7.60,880.00,540,Acer saccharum
woody,Tree,S,16.53,16.53,42.510,-74.138,7.60,880.00,540,Betula alleghaniensis (lutea)
woody,Tree,S,5.66,5.66,42.510,-74.138,7.60,880.00,540,Betula papyrifera
woody,Tree,S,8.87,8.87,42.510,-74.138,7.60,880.00,540,Betula populifolia
woody,Tree,S,25.38,25.38,42.510,-74.138,7.60,880.00,540,Carpinus caroliniana
woody,Tree,C,60.87,,42.510,-74.138,7.60,880.00,540,Carya ovata
woody,Tree,S,27.95,27.95,42.510,-74.138,7.60,880.00,540,Fagus grandifolia
woody,Tree,C,18.31,,42.510,-74.138,7.60,880.00,540,Fraxinus americana
woody,Tree,C,44.87,,42.510,-74.138,7.60,880.00,540,Fraxinus pennsylvanica
woody,Shrub,S,37.88,37.88,42.510,-74.138,7.60,880.00,540,Hamamelis virginiana
woody,Tree,S,23.28,23.28,42.510,-74.138,7.60,880.00,540,Ostrya virginiana
woody,Tree,S,13.48,13.48,42.510,-74.138,7.60,880.00,540,Populus tremuloides
woody,Tree,S,18.52,18.52,42.510,-74.138,7.60,880.00,540,Prunus serotina
woody,Tree,S,28.82,28.82,42.510,-74.138,7.60,880.00,540,Quercus rubra
woody,Tree,S,15.26,15.26,42.510,-74.138,7.60,880.00,540,Salix discolor
woody,Shrub,C,23.1,,42.510,-74.138,7.60,880.00,540,Sambucus pubens
woody,Tree,S,130.01,130.01,42.510,-74.138,7.60,880.00,540,Tilia americana
woody,Tree,S,43.11,43.11,42.510,-74.138,7.60,880.00,540,Ulmus americana
woody,Shrub,S,4.85,4.85,42.510,-74.138,7.60,880.00,540,Vaccinium sp
woody,Shrub,S,16.16,16.16,42.510,-74.138,7.60,880.00,540,Viburnum opulus (?trilobum)
woody,Shrub,S,38.11,38.11,42.510,-74.138,7.60,880.00,540,Viburnum sp
woody,Tree,C,18.47,,41.800,-73.750,9.50,1090.00,541,Acer negundo
woody,Tree,S,122.05,122.05,41.800,-73.750,9.50,1090.00,541,Acer pensylvanicum
woody,Tree,S,40.63,40.63,41.800,-73.750,9.50,1090.00,541,Acer rubrum
woody,Tree,S,97.23,97.23,41.800,-73.750,9.50,1090.00,541,Acer saccharum
woody,Tree,S,31.32,31.32,41.800,-73.750,9.50,1090.00,541,Betula lenta
woody,Tree,S,12.67,12.67,41.800,-73.750,9.50,1090.00,541,Betula populifolia
woody,Tree,S,21.33,21.33,41.800,-73.750,9.50,1090.00,541,Carpinus caroliniana
woody,Tree,C,30.47,,41.800,-73.750,9.50,1090.00,541,Carya glabra
woody,Tree,C,69.94,,41.800,-73.750,9.50,1090.00,541,Carya tomentosa
woody,Tree,S,32.04,32.04,41.800,-73.750,9.50,1090.00,541,Cornus florida
woody,Shrub,S,8.49,8.49,41.800,-73.750,9.50,1090.00,541,Cornus obliqua
woody,Tree,S,41.2,41.2,41.800,-73.750,9.50,1090.00,541,Fagus grandifolia
woody,Tree,C,47.53,,41.800,-73.750,9.50,1090.00,541,Fraxinus sp #1
woody,Tree,C,38.67,,41.800,-73.750,9.50,1090.00,541,Fraxinus sp #2
woody,Shrub,S,80.78,80.78,41.800,-73.750,9.50,1090.00,541,Hamamelis virginiana
woody,Shrub,S,11.87,11.87,41.800,-73.750,9.50,1090.00,541,Ilex verticillata
woody,Tree,C,22.93,,41.800,-73.750,9.50,1090.00,541,Juglans nigra
woody,Tree,S,163.76,163.76,41.800,-73.750,9.50,1090.00,541,Liriodendron tulipifera
woody,Tree,S,26.11,26.11,41.800,-73.750,9.50,1090.00,541,Ostrya virginiana
woody,Tree,S,216.56,216.56,41.800,-73.750,9.50,1090.00,541,Platanus occidentalis
woody,Tree,S,45.34,45.34,41.800,-73.750,9.50,1090.00,541,Populus grandidentata
woody,Tree,S,20.62,20.62,41.800,-73.750,9.50,1090.00,541,Populus tremuloides
woody,Tree,S,20.21,20.21,41.800,-73.750,9.50,1090.00,541,Prunus serotina
woody,Tree,S,45.66,45.66,41.800,-73.750,9.50,1090.00,541,Quercus alba
woody,Tree,S,86.88,86.88,41.800,-73.750,9.50,1090.00,541,Quercus prinus
woody,Tree,S,66.55,66.55,41.800,-73.750,9.50,1090.00,541,Quercus rubra
woody,Tree,C,6.66,,41.800,-73.750,9.50,1090.00,541,Robinia sp
woody,Shrub,S,4.89,4.89,41.800,-73.750,9.50,1090.00,541,Salix lucida
woody,Tree,S,65.58,65.58,41.800,-73.750,9.50,1090.00,541,Sassafras albidum
woody,Tree,S,114.15,114.15,41.800,-73.750,9.50,1090.00,541,Tilia americana
woody,Tree,S,28.73,28.73,41.800,-73.750,9.50,1090.00,541,Ulmus americana
woody,Tree,S,27.71,27.71,41.530,-72.744,10.20,1210.00,533,Acer rubrum
woody,Tree,S,40.72,40.72,41.530,-72.744,10.20,1210.00,533,Acer saccharum
woody,Tree,S,28.5,28.5,41.530,-72.744,10.20,1210.00,533,Betula alleghaniensis (lutea)
woody,Tree,S,44.42,44.42,41.530,-72.744,10.20,1210.00,533,Betula lenta
woody,Tree,S,35.52,35.52,41.530,-72.744,10.20,1210.00,533,Betulaceae
woody,Tree,S,26.76,26.76,41.530,-72.744,10.20,1210.00,533,Carpinus caroliniana
woody,Tree,C,34.06,,41.530,-72.744,10.20,1210.00,533,Carya glabra
woody,Tree,C,54.79,,41.530,-72.744,10.20,1210.00,533,Carya tomentosa
woody,Tree,S,28.42,28.42,41.530,-72.744,10.20,1210.00,533,Cornus florida
woody,Tree,S,51.6,51.6,41.530,-72.744,10.20,1210.00,533,Fagus grandifolia
woody,Tree,C,31.22,,41.530,-72.744,10.20,1210.00,533,Fraxinus americana
woody,Shrub,S,47.87,47.87,41.530,-72.744,10.20,1210.00,533,Hamamelis virginiana
woody,Shrub,S,9.69,9.69,41.530,-72.744,10.20,1210.00,533,Ilex verticillata
woody,Tree,S,5.28,5.28,41.530,-72.744,10.20,1210.00,533,Kalmia latifolia
woody,Shrub,S,36.01,36.01,41.530,-72.744,10.20,1210.00,533,Lindera benzoin
woody,Tree,S,50.14,50.14,41.530,-72.744,10.20,1210.00,533,Liriodendron tulipifera
woody,Tree,S,30.67,30.67,41.530,-72.744,10.20,1210.00,533,Nyssa sylvatica
woody,Tree,S,18.1,18.1,41.530,-72.744,10.20,1210.00,533,Ostrya virginiana
woody,Tree,S,39.62,39.62,41.530,-72.744,10.20,1210.00,533,Populus grandidentata
woody,Tree,S,64.58,64.58,41.530,-72.744,10.20,1210.00,533,Quercus alba
woody,Tree,S,58.5,58.5,41.530,-72.744,10.20,1210.00,533,Quercus prinus
woody,Tree,S,42.7,42.7,41.530,-72.744,10.20,1210.00,533,Quercus velutina
woody,Shrub,S,13.16,13.16,41.530,-72.744,10.20,1210.00,533,Rhododendron periclymenoides (nudiflorum)
woody,Shrub,S,17.21,17.21,41.530,-72.744,10.20,1210.00,533,Rhododendron sp
woody,Tree,S,57.35,57.35,41.530,-72.744,10.20,1210.00,533,Sassafras albidum
woody,Shrub,S,12.94,12.94,41.530,-72.744,10.20,1210.00,533,Vaccinium corymbosum
woody,Tree,S,108.36,108.36,40.630,-75.980,10.80,1160.00,539,Acer pensylvanicum
woody,Tree,S,43.5,43.5,40.630,-75.980,10.80,1160.00,539,Acer rubrum
woody,Tree,S,30.45,30.45,40.630,-75.980,10.80,1160.00,539,Amelanchier arborea
woody,Tree,S,27.4,27.4,40.630,-75.980,10.80,1160.00,539,Carpinus caroliniana
woody,Tree,C,40.71,,40.630,-75.980,10.80,1160.00,539,Carya ovalis
woody,Tree,S,60.19,60.19,40.630,-75.980,10.80,1160.00,539,Castanea dentata
woody,Shrub,S,35.06,35.06,40.630,-75.980,10.80,1160.00,539,Hamamelis virginiana
woody,Tree,S,14.52,14.52,40.630,-75.980,10.80,1160.00,539,Kalmia latifolia
woody,Shrub,S,11.9,11.9,40.630,-75.980,10.80,1160.00,539,Ledum groenlandicum
woody,Tree,S,85.2,85.2,40.630,-75.980,10.80,1160.00,539,Liriodendron tulipera
woody,Tree,S,40.25,40.25,40.630,-75.980,10.80,1160.00,539,Nyssa sylvatica
woody,Tree,S,41.47,41.47,40.630,-75.980,10.80,1160.00,539,Ostrya virginiana
woody,Tree,S,35.67,35.67,40.630,-75.980,10.80,1160.00,539,Populus grandidentata
woody,Shrub,S,37.01,37.01,40.630,-75.980,10.80,1160.00,539,Prunus pensylvanica
woody,Tree,S,20.61,20.61,40.630,-75.980,10.80,1160.00,539,Prunus serotina
woody,Tree,S,42.34,42.34,40.630,-75.980,10.80,1160.00,539,Quercus alba
woody,Shrub,S,160.05,160.05,40.630,-75.980,10.80,1160.00,539,Quercus coccinea
woody,Tree,S,74.77,74.77,40.630,-75.980,10.80,1160.00,539,Quercus palustris
woody,Tree,S,58.08,58.08,40.630,-75.980,10.80,1160.00,539,Quercus prinus
woody,Tree,S,25.71,25.71,40.630,-75.980,10.80,1160.00,539,Rhododendron maximum
woody,Tree,S,93.46,93.46,40.630,-75.980,10.80,1160.00,539,Sassafras albidum
woody,Shrub,C,11.95,,40.630,-75.980,10.80,1160.00,539,Sorbus americana
woody,Shrub,S,2.65,2.65,40.630,-75.980,10.80,1160.00,539,Vaccinium corymbosum
woody,Liana,S,134.5,134.5,40.630,-75.980,10.80,1160.00,539,Vitis aestivalis cf
woody,Tree,C,25.7,,39.920,-76.750,11.90,1030.00,545,Acer negundo
woody,Tree,S,76.7,76.7,39.920,-76.750,11.90,1030.00,545,Acer rubrum
woody,Tree,S,45.3,45.3,39.920,-76.750,11.90,1030.00,545,Acer saccharinum
woody,Tree,S,30,30,39.920,-76.750,11.90,1030.00,545,Alnus serrulata
woody,Tree,S,9.8,9.8,39.920,-76.750,11.90,1030.00,545,Amelanchier laevis
woody,Tree,C,3,,39.920,-76.750,11.90,1030.00,545,Amorpha fruticosa
woody,Tree,S,14.7,14.7,39.920,-76.750,11.90,1030.00,545,Aronia arbutifolia
woody,Tree,S,68.1,68.1,39.920,-76.750,11.90,1030.00,545,Asimina triloba
woody,Tree,S,53.1,53.1,39.920,-76.750,11.90,1030.00,545,Betula lenta
woody,Tree,S,21.3,21.3,39.920,-76.750,11.90,1030.00,545,Betula nigra
woody,Tree,C,11.6,,39.920,-76.750,11.90,1030.00,545,Carya cordiformis
woody,Tree,C,35,,39.920,-76.750,11.90,1030.00,545,Carya glabra
woody,Tree,C,23.4,,39.920,-76.750,11.90,1030.00,545,Carya laciniosa
woody,Tree,C,15.7,,39.920,-76.750,11.90,1030.00,545,Carya ovalis
woody,Tree,C,12.3,,39.920,-76.750,11.90,1030.00,545,Carya ovata
woody,Tree,C,38.8,,39.920,-76.750,11.90,1030.00,545,Carya tomentosa
woody,Tree,S,124,124,39.920,-76.750,11.90,1030.00,545,Castanea dentata
woody,Tree,S,34.8,34.8,39.920,-76.750,11.90,1030.00,545,Celtis occidentalis
woody,Shrub,S,5.7,5.7,39.920,-76.750,11.90,1030.00,545,Cornus amomum
woody,Tree,S,39.6,39.6,39.920,-76.750,11.90,1030.00,545,Cornus florida
woody,Tree,S,30.4,30.4,39.920,-76.750,11.90,1030.00,545,Fagus grandifolia
woody,Tree,C,26,,39.920,-76.750,11.90,1030.00,545,Fraxinus americana
