id,type,modified,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,lifeStage,reproductiveCondition,establishmentMeans,occurrenceStatus,preparations,associatedSequences,associatedTaxa,previousIdentifications,eventDate,verbatimEventDate,habitat,eventRemarks,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationRemarks,identificationQualifier,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalStatus
NSW:NSW:NSW 20066,PhysicalObject,2019-02-12 15:24:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 20066,NSW 20066,"Broad Leaved Tea Tree. [Note: Blake (1968) cites this mounted specimen as lectotype. It lacks collector and other details, but Blake takes these from the Technological Museum specimen that he believed was the same collection, viz.: Rose Bay, July 1913, Laseron (cf. NSW1053798 - the isolectotype) Peter G. Wilson 12 Feb 2019]",,"Laseron, C.F.",,buds | flowers | fruit,native,Present,sheet,,,,1913-07,,,,,,,,Australia,,New South Wales,,Rose Bay.,Rose Bay.,,,,,,,,"33,52,,S,151,16,,E,",,,,,-33.87,151.27,,5000.0,,,,,,,,,"Wilson, Peter G.",2019-02-12,,,lectotype,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 101719,PhysicalObject,2019-02-06 10:39:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 101719,NSW 101719,"Tall, erect tree 30--40 ft high with long drooping branchlets and shiny green leaves. Bark papery, grey. Trunk 2 ft diam., 4 ft high. Flowers white, in long drooping spikes.",6552,"Lazarides, M.",,flowers,native,Present,sheet,,,,1959-09-22,,Common with Eucalyptus tectifica and dense Acacia spp. on loamy Yellow Earth.,,,,,,Australia,,Western Australia,,12 miles [19.2 km] SW of Beagle Bay Mission.,12 miles [19.2 km] SW of Beagle Bay Mission.,,,,,,,,"17,08,,S,122,35,,E,",,,,,-17.13,122.58,,10000.0,,,,,,,,,,,,,,Melaleuca dealbata S.T.Blake,,,,,Myrtaceae,Melaleuca,dealbata,,,S.T.Blake,
NSW:NSW:NSW 399383,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 399383,NSW 399383,,2595,"Carr, G.W.",,buds | flowers,native,Present,sheet,,,,1974-07-01,,,,,,,,Australia,,Northern Territory,,14.5 km [c.] N of Renner Springs on the Stuart Highway.,14.5 km [c.] N of Renner Springs on the Stuart Highway.,,,,,,,,"18,11,,S,133,44,,E,",,,,,-18.18,133.73,,10000.0,,,,,,,,,"Fortescue, D.C.",1980-12-18,,,,Melaleuca nervosa (Lindl.) Cheel,,,,,Myrtaceae,Melaleuca,nervosa,,,(Lindl.) Cheel,
NSW:NSW:NSW 415166,PhysicalObject,2018-12-20 17:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 415166,NSW 415166,Common.,424,"Wannan, B.S.",,,native,Present,sheet,,,,1997-04-15,,"Riparian forest in and around creek. Trees up to 20 m high and an understorey of shrubs and herbs. Tree species include Casuarina cunninghamiana, Eucalyptus tessellaris, E. tereticornis, Planchonia careyi, Pleiogynium timorense, Ficus opposita, Lophostemon grandiflorus, Acacia flavescens, A. bidwillii etc.",,,,,,Australia,,Queensland,,Keelbottom Creek on the Herveys Range Developmental Road.,Keelbottom Creek on the Herveys Range Developmental Road.,,,,,,,,"19,29,42,S,146,19,42,E,",,,,,-19.495,146.3283333,,50.0,,,,,,,,,"Wilson, Peter G.",2018-12-20,,,,Melaleuca fluviatilis Barlow,,,,,Myrtaceae,Melaleuca,fluviatilis,,,Barlow,
NSW:NSW:NSW 571307,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 571307,NSW 571307,,3902,"Carr, G.W. | Beauglehole, A.C.",,fruit,native,Present,sheet,,,,1974-07-20,,,,,,,,Australia,,Western Australia,,"Windjana Gorge, Napier Range, Kimberleys.","Windjana Gorge, Napier Range, Kimberleys.",,,,,,,,"17,25,,S,124,58,,E,",,,,,-17.42,124.97,,1000.0,,,,,,,,,"Beauglehole, A.C.",,,,,Melaleuca leucadendra (L.) L.,,,,,Myrtaceae,Melaleuca,leucadendra,,,(L.) L.,
NSW:NSW:NSW 571308,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 571308,NSW 571308,,4860,"Carr, G.W. | Beauglehole, A.C.",,fruit,native,Present,sheet,,,,1974-08-08,,,,,,,,Australia,,Western Australia,Hammersley Range National Park,Dales Gorge.,Dales Gorge.,,,,,,,,"22,30,,S,118,36,,E,",,,,,-22.5,118.6,,5000.0,,,,,,,,,"Beauglehole, A.C.",,,,,Melaleuca leucadendra (L.) L.,,,,,Myrtaceae,Melaleuca,leucadendra,,,(L.) L.,
NSW:NSW:NSW 571652,PhysicalObject,2019-02-06 11:56:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 571652,NSW 571652,Shrub to 2 m high.,84118,"Halford, D.",,fruit,native,Present,sheet,,,,1984-11-29,,Occasional in open Eucalyptus woodland on clayey loam.,,,,,,Australia,,Northern Territory,,3 km along track to Wollogorang from 12 Mile Waterhole.,3 km along track to Wollogorang from 12 Mile Waterhole.,,,,,,,,"17,17,,S,137,48,,E,",,,,,-17.28,137.8,,1000.0,,,,,,,,,"Wilson, Peter G.",2019-02-06,,,,Melaleuca stenostachya S.T.Blake,,,,,Myrtaceae,Melaleuca,stenostachya,,,S.T.Blake,
NSW:NSW:NSW 571818,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 571818,NSW 571818,Dupl. to G.W.Carr.,46898,"Beauglehole, A.C.",,flowers | fruit,native,Present,sheet,,,,1974-07-07,,,,,,,,Australia,,Western Australia,,"Lake Argyle Road, Between Dead Horse Springs and Spillway Creek turn-offs, Kimberbleys.","Lake Argyle Road, Between Dead Horse Springs and Spillway Creek turn-offs, Kimberbleys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 572006,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 572006,NSW 572006,,4460,"Carr, G.W.",,flowers | fruit,native,Present,sheet,,,,1974-08-01,,,,,,,,Australia,,Western Australia,,"Junction of Lagrange Mission Road and Great Northern Highway, +/- 75 km SSW of Broome.","Junction of Lagrange Mission Road and Great Northern Highway, +/- 75 km SSW of Broome.",,,,,,,,,,,,,,,,,,,,,,,,,"Fortescue, D.C.",1980-12-19,,,,Melaleuca nervosa (Lindl.) Cheel,,,,,Myrtaceae,Melaleuca,nervosa,,,(Lindl.) Cheel,
NSW:NSW:NSW 572007,PhysicalObject,2019-03-06 09:46:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 572007,NSW 572007,,3842,"Carr, G.W.",,buds | flowers,native,Present,sheet,,,,1974-07-19,,,,,,,,Australia,,Western Australia,,"Great Northern Highway, +/- 11 km E of junction of Derby-Broome Roads, Kimberleys.","Great Northern Highway, +/- 11 km E of junction of Derby-Broome Roads, Kimberleys.",,,,,,,,,,,,,,,,,,,,,,,,,"Fortescue, D.C.",1980-12-19,,,,Melaleuca nervosa (Lindl.) Cheel,,,,,Myrtaceae,Melaleuca,nervosa,,,(Lindl.) Cheel,
