id,type,modified,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,lifeStage,reproductiveCondition,establishmentMeans,occurrenceStatus,preparations,associatedSequences,associatedTaxa,previousIdentifications,eventDate,verbatimEventDate,habitat,eventRemarks,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationRemarks,identificationQualifier,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalStatus
NSW:NSW:NSW 4447,PhysicalObject,2017-02-03 10:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 4447,NSW 4447,"Tree 30 ft [9.1 m] high, G.B.H. 5 ft [1.5 m].",,"Constable, E.F.",,buds | flowers,native,Present,sheet,,,,1947-09-15,,"Ironstone country, scaly bark.",,,,,,Australia,,New South Wales,,25 miles [40 km] from Wanaaring,25 miles [40 km] from Wanaaring,,,,,,,,"29,42,,S,144,09,,E,",,,,,-29.7,144.15,,5.0,,,,,,,,,,,,,,Corymbia tumescens K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,tumescens,,,K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 6491,PhysicalObject,2014-03-21 12:38:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 6491,NSW 6491,"Yellow Bloodwood. Abundant. From 10-50 ft [3-15.2 m]. Bark flaky, yellowish underneath. Foliage drooping, subglaucous.",,"Johnson, L.A.S.",,buds | fruit,native,Present,sheet,,,,1948-08-18,,On sandstone.,,,,,,Australia,,New South Wales,,Cowan,Cowan,,,,,,,,"33,36,,S,151,10,,E,",,,,,-33.6,151.17,,10000.0,,,,,,,,,,,,,,Corymbia eximia (Schauer) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,eximia,,,(Schauer) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 325128,PhysicalObject,2019-01-14 17:10:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 325128,NSW 325128,[ex Herbarium Hookerianum 1867],453,"Cunningham, A.",,buds,native,Present,sheet,,,,1819-10,,,,,,,,Australia,,Western Australia,,NW Coast [Vansittart Bay],NW Coast [Vansittart Bay],,,,,,,,"14,04,,S,126,17,,E,",,,,,-14.07,126.28,,1000.0,,,,,,,,,,,,,,Corymbia torta allanii K.D.Hill & L.A.S.Johnson MS.,,,,,Myrtaceae,Corymbia,torta,,subsp.,K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 325143,PhysicalObject,2019-04-11 15:02:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 325143,NSW 325143,Tree 9 m x 60 cm with a stocking of flaky bark on th ebutt and smooth upper trunk and branches. Fruits in FAA.,6938,"Hyland, B.",,fruit,,Present,sheet,,,,1973-10-18,,Beach forest.,,,,,,Australia,,Queensland,,Old Lockhart River Mission,Old Lockhart River Mission,,1.0,1.0,,,,,"13,00,,S,143,30,,E,",,,,,-13.0,143.5,,10000.0,,,,,,,,,,,,,,Corymbia papuana (F.Muell.) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,papuana,,,(F.Muell.) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 325145,PhysicalObject,2019-01-14 17:10:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 325145,NSW 325145,[presented by K to NSW Apr 1901],453,"Cunningham, A.",,buds,native,Present,sheet,,,,1819-10,,,,,,,,Australia,,Western Australia,,NW Coast [Vansittart Bay],NW Coast [Vansittart Bay],,,,,,,,"14,04,,S,126,17,,E,",,,,,-14.07,126.28,,1000.0,,,,,,,,,,,,,,Corymbia torta allanii K.D.Hill & L.A.S.Johnson MS.,,,,,Myrtaceae,Corymbia,torta,,subsp.,K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 6608,PhysicalObject,2016-11-15 11:56:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 6608,NSW 6608,Tree 25 ft [7.6 m] high. G.B.H. 3 ft [1 m].,,"Constable, E.F.",,buds | fruit,,Present,sheet,,,,1948-09-07,,Sandstone.,,,,,,Australia,,New South Wales,,Putty,Putty,,300.0,300.0,,,,,"32,58,,S,150,40,,E,",,,,,-32.97,150.67,,10000.0,,,,,,,,,,,,,,Corymbia eximia (Schauer) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,eximia,,,(Schauer) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 329027,PhysicalObject,2019-06-07 14:48:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 329027,NSW 329027,Tree. [May be cited as computerised collection number AQ 508015.],236,"Thompson, E.J.",,fruit,,Present,sheet,,,,1991-09-24,,"In dissected sandstone area, in gullies.",,,,,,Australia,,Queensland,,"Mount Bohle, 37 km SW of Charters Towers","Mount Bohle, 37 km SW of Charters Towers",,450.0,450.0,,,,,"20,16,,S,146,01,,E,",,,,,-20.27,146.02,,1000.0,,,,,,,,,"Wilson, Peter G.",2019-03,,,,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,trachyphloia,,,(F.Muell.) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 8458,PhysicalObject,2019-06-07 14:48:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 8458,NSW 8458,"20' [6.0 m], bloodwood bark.",,"Constable, E.F.",,fruit,,Present,sheet,,,,1948-09-16,,"Side of road, sandstone.",,,,,,Australia,,New South Wales,,"Lees Pinch, Merriwa Road","Lees Pinch, Merriwa Road",,510.0,510.0,,,,,"32,24,,S,150,10,,E,",,,,,-32.4,150.17,,1000.0,,,,,,,,,"Wilson, Peter G.",2019-03,,,,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,trachyphloia,,,(F.Muell.) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 10093,PhysicalObject,2018-09-03 09:58:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 10093,NSW 10093,,,"Singleton, G.",,buds | fruit,native,Present,sheet,,,,1918-09-27,,,,,,,,Australia,,Queensland,,Chinchilla State Forest,Chinchilla State Forest,,,,,,,,"26,44,,S,150,38,,E,",,,,,-26.73,150.63,,10000.0,,,,,,,,,,,,,paratype,Corymbia bloxsomei (Maiden) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,bloxsomei,,,(Maiden) K.D.Hill & L.A.S.Johnson,
NSW:NSW:NSW 10094,PhysicalObject,2018-09-03 09:58:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 10094,NSW 10094,Growing in large quantities.,,"Singleton, G.",,buds,native,Present,sheet,,,,1918-10-27,,,,,,,,Australia,,Queensland,,Chinchilla State Forest,Chinchilla State Forest,,,,,,,,"26,24,,S,150,38,,E,",,,,,-26.4,150.63,,10000.0,,,,,,,,,,,,,,Corymbia bloxsomei (Maiden) K.D.Hill & L.A.S.Johnson,,,,,Myrtaceae,Corymbia,bloxsomei,,,(Maiden) K.D.Hill & L.A.S.Johnson,
