"","T0","T2.86","T5.72","T8.57","T11.43","T14.29","T17.15","T20.01","T22.86","T25.72","T28.58","T31.44","T34.3","T37.16","T40.01","T42.87","T45.73","T48.59","T51.45","T54.3"
"1","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","Angophora melanoxylon","i2","i2","i2"
"2","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","Angophora woodsiana","i2","i2","i2","i2","i2","i2","i2","i2","i2"
"3","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","Angophora floribunda","i2","i2","i2","i2","i2","i2","i2","i2","i2"
"4","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","Angophora subvelutina","i2","i2","i2","i2","i2","i2","i2","i2","i2","i2","i2"
"5","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","Angophora hispida","i2","i2","i2","i2","i2","i2","i2","i2","i2","i2","i2"
"6","Corymbia eximia","Corymbia eximia","Corymbia eximia","Corymbia eximia","i2","i2","i2","i2","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"7","Corymbia maculata","Corymbia maculata","Corymbia maculata","Corymbia maculata","i2","i2","i2","i2","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"8","Corymbia citriodora","Corymbia citriodora","Corymbia citriodora","Corymbia citriodora","Corymbia citriodora","i3","i3","i2","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"9","Corymbia variegata","Corymbia variegata","Corymbia variegata","Corymbia variegata","Corymbia variegata","i3","i3","i2","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"10","Corymbia aparrerinja","Corymbia aparrerinja","Corymbia aparrerinja","i2","i3","i4","i4","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"11","Corymbia papuana","i2","i2","i2","i3","i4","i4","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"12","Corymbia dallachiana","i2","i2","i2","i3","i4","i4","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"13","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","Corymbia tessellaris","i4","i4","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"14","Corymbia bloxsomei","Corymbia bloxsomei","Corymbia bloxsomei","i3","i4","i5","i5","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"15","Corymbia leichhardtii","Corymbia leichhardtii","Corymbia leichhardtii","i3","i4","i5","i5","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"16","Corymbia bunites","Corymbia bunites","Corymbia bunites","Corymbia bunites","i5","i5","i5","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
"17","Corymbia dimorpha","Corymbia dimorpha","Corymbia dimorpha","Corymbia dimorpha","i5","i5","i5","i3","i2","i3","i3","i3","i3","i3","i3","i3","i3","i2","i2","i2"
