"","id","decimalLatitude","decimalLongitude","scientificName"
"1","NSW:NSW:NSW 355807",-24.32,147.5,"Angophora expansa"
"2","NSW:NSW:NSW 982700",-33.15978,151.53497,"Angophora costata x floribunda"
"3","NSW:NSW:NSW 475211",-32.9253,151.5828,"Angophora floribunda x inopina"
"4","NSW:NSW:NSW 836970",-25.8864,152.3053,"Angophora subvelutina"
"5","NSW:NSW:NSW 355995",-27.42,153.02,"Angophora woodsiana"
"6","NSW:NSW:NSW 403676",-33.17,151.58,"Angophora sp. nov."
"7","NSW:NSW:NSW 701974",-32.4352778,152.1897222,"Angophora inopina"
"8","NSW:NSW:NSW 812516",-32.7203,152.1831,"Angophora costata"
"9","NSW:NSW:NSW 355876",-30.02,152.98,"Angophora subvelutina x woodsiana"
"10","NSW:NSW:NSW 465626",-29.08,153.33,"Angophora paludosa"
