"","id","decimalLatitude","decimalLongitude","scientificName"
"1","NSW:NSW:NSW 214317",-17.98,124.02,"Corymbia cliftoniana"
"2","NSW:NSW:NSW 321424",-24.28,119.72,"Corymbia hamersleyana"
"3","NSW:NSW:NSW 845272",-17.23117,145.156,"Corymbia stockeri"
"4","NSW:NSW:NSW 312424",-18,142.65,"Corymbia bella x grandifolia subsp. grandifolia"
"5","NSW:NSW:NSW 313872",-13.27,132.8,"Corymbia arafurica x disjuncta"
"6","NSW:NSW:NSW 312894",-15.8,145.23,"Corymbia tessellaris x torelliana"
"7","NSW:NSW:NSW 302478",-14.55,132.43,"Corymbia ollaris"
"8","NSW:NSW:NSW 214096",-18.62,138.93,"Corymbia curtipes"
"9","NSW:NSW:NSW 506235",-18.98,146.05,"Corymbia abergiana x lamprophylla"
"10","NSW:NSW:NSW 329031",-14.83,125.68,"Corymbia byrnesii x nesophila"
