"","id","decimalLatitude","decimalLongitude","scientificName","Subgenus","speciesNumber","Sheets","rank"
"1","NSW:NSW:NSW 304799",-15.62,131.15,"Eucalyptus brachyandra","Minutifructus",4,29,1
"2","NSW:NSW:NSW 370398",-15.77,128.75,"Eucalyptus brachyandra","Minutifructus",4,29,2
"3","NSW:NSW:NSW 348933",-16.1,125.88,"Eucalyptus brachyandra","Minutifructus",4,29,3
"4","NSW:NSW:NSW 304790",-15.78,128.73,"Eucalyptus brachyandra","Minutifructus",4,29,4
"5","NSW:NSW:NSW 304791",-15.77,128.73,"Eucalyptus brachyandra","Minutifructus",4,29,5
"6","NSW:NSW:NSW 304746",-24.95,149.5,"Eucalyptus cloeziana","Idiogenes",4,75,1
"7","NSW:NSW:NSW 388138",-26.37,152.85,"Eucalyptus cloeziana","Idiogenes",4,75,2
"8","NSW:NSW:NSW 304756",-25.3,150.3,"Eucalyptus cloeziana","Idiogenes",4,75,3
"9","NSW:NSW:NSW 931656",-23.87,149.02,"Eucalyptus cloeziana","Idiogenes",4,75,4
"10","NSW:NSW:NSW 213849",-26,152.75,"Eucalyptus cloeziana","Idiogenes",4,75,5
"11","NSW:NSW:NSW 348928",-23.83,149.08,"Eucalyptus contracta","Idiogenes",4,11,1
"12","NSW:NSW:NSW 402645",-23.92,149.25,"Eucalyptus contracta","Idiogenes",4,11,2
"13","NSW:NSW:NSW 326391",-23.87,149.23,"Eucalyptus contracta","Idiogenes",4,11,3
"14","NSW:NSW:NSW 326382",-23.85,149.05,"Eucalyptus contracta","Idiogenes",4,11,4
"15","NSW:NSW:NSW 326388",-23.78,149.07,"Eucalyptus contracta","Idiogenes",4,11,5
"16","NSW:NSW:NSW 658091",-34.7389,142.0106,"Eucalyptus costata","Angophora",3,170,1
"17","NSW:NSW:NSW 353551",-35.75,141.5,"Eucalyptus costata","Angophora",3,170,2
"18","NSW:NSW:NSW 353584",-36.2,140.55,"Eucalyptus costata","Angophora",3,170,3
"19","NSW:NSW:NSW 48592",-33.9,143.35,"Eucalyptus costata","Angophora",3,170,4
"20","NSW:NSW:NSW 353561",-34.68,139.28,"Eucalyptus costata","Angophora",3,170,5
"21","NSW:NSW:NSW 307246",-27.6,152.85,"Eucalyptus curtisii","Acerosae",1,46,1
"22","NSW:NSW:NSW 669870",-25.2872,149.1158,"Eucalyptus curtisii","Acerosae",1,46,2
"23","NSW:NSW:NSW 370256",-27.63,153.18,"Eucalyptus curtisii","Acerosae",1,46,3
"24","NSW:NSW:NSW 388518",-27.3319444,150.6558333,"Eucalyptus curtisii","Acerosae",1,46,4
"25","NSW:NSW:NSW 348717",-27.62,153.05,"Eucalyptus curtisii","Acerosae",1,46,5
"26","NSW:NSW:NSW 329016",-18.7,145.37,"Eucalyptus howittiana","Minutifructus",4,21,1
"27","NSW:NSW:NSW 370277",-20.48,146.93,"Eucalyptus howittiana","Minutifructus",4,21,2
"28","NSW:NSW:NSW 304807",-18.58,145.13,"Eucalyptus howittiana","Minutifructus",4,21,3
"29","NSW:NSW:NSW 348939",-20.65,146.72,"Eucalyptus howittiana","Minutifructus",4,21,4
"30","NSW:NSW:NSW 207918",-18.98,145.12,"Eucalyptus howittiana","Minutifructus",4,21,5
"31","NSW:NSW:NSW 402512",-18.9941667,146.2880556,"Eucalyptus irritans","Idiogenes",4,51,1
"32","NSW:NSW:NSW 332129",-19.58,144.08,"Eucalyptus irritans","Idiogenes",4,51,2
"33","NSW:NSW:NSW 326358",-19,146.07,"Eucalyptus irritans","Idiogenes",4,51,3
"34","NSW:NSW:NSW 326351",-17.8,144.95,"Eucalyptus irritans","Idiogenes",4,51,4
"35","NSW:NSW:NSW 463757",-17.38,145.35,"Eucalyptus irritans","Idiogenes",4,51,5
"36","NSW:NSW:NSW 333920",-29.47,153.2,"Eucalyptus microcorys","Alveolata",1,105,1
"37","NSW:NSW:NSW 333927",-30.2,153,"Eucalyptus microcorys","Alveolata",1,105,2
"38","NSW:NSW:NSW 333992",-28.27,152.62,"Eucalyptus microcorys","Alveolata",1,105,3
"39","NSW:NSW:NSW 333978",-27.37,153.07,"Eucalyptus microcorys","Alveolata",1,105,4
"40","NSW:NSW:NSW 333953",-32.38,152.48,"Eucalyptus microcorys","Alveolata",1,105,5
"41","NSW:NSW:NSW 674720",-18.3503,145.2706,"Eucalyptus portuensis","Idiogenes",4,20,1
"42","NSW:NSW:NSW 672864",-18.3028,145.3375,"Eucalyptus portuensis","Idiogenes",4,20,2
"43","NSW:NSW:NSW 682808",-18.1144,145.1819,"Eucalyptus portuensis","Idiogenes",4,20,3
"44","NSW:NSW:NSW 402625",-20.28,148.78,"Eucalyptus portuensis","Idiogenes",4,20,4
"45","NSW:NSW:NSW 841725",-22.9606,149.8383,"Eucalyptus portuensis","Idiogenes",4,20,5
"46","NSW:NSW:NSW 361625",-21.27,149.15,"Eucalyptus raveretiana","Minutifructus",4,42,1
"47","NSW:NSW:NSW 358649",-20.63,148.58,"Eucalyptus raveretiana","Minutifructus",4,42,2
"48","NSW:NSW:NSW 668556",-21.1878,148.3075,"Eucalyptus raveretiana","Minutifructus",4,42,3
"49","NSW:NSW:NSW 358644",-21.57,148.37,"Eucalyptus raveretiana","Minutifructus",4,42,4
"50","NSW:NSW:NSW 303321",-21.58,148.58,"Eucalyptus raveretiana","Minutifructus",4,42,5
"51","NSW:NSW:NSW 354302",-25.17,149.97,"Eucalyptus rubiginosa","Primitiva",1,24,1
"52","NSW:NSW:NSW 933770",-25.1889,149.9767,"Eucalyptus rubiginosa","Primitiva",1,24,2
"53","NSW:NSW:NSW 456066",-25.2177778,149.4502778,"Eucalyptus rubiginosa","Primitiva",1,24,3
"54","NSW:NSW:NSW 354301",-25.2,149.97,"Eucalyptus rubiginosa","Primitiva",1,24,4
"55","NSW:NSW:NSW 354296",-25.1,149.12,"Eucalyptus rubiginosa","Primitiva",1,24,5
"56","NSW:NSW:NSW 501553",-25.17,149.23,"Eucalyptus tenuipes","Cuboidea",1,55,1
"57","NSW:NSW:NSW 488173",-26.33,150.67,"Eucalyptus tenuipes","Cuboidea",1,55,2
"58","NSW:NSW:NSW 304692",-25.25,149.95,"Eucalyptus tenuipes","Cuboidea",1,55,3
"59","NSW:NSW:NSW 684758",-25.5739,148.9603,"Eucalyptus tenuipes","Cuboidea",1,55,4
"60","NSW:NSW:NSW 304694",-25.15,149.73,"Eucalyptus tenuipes","Cuboidea",1,55,5
"61","NSW:NSW:NSW 331318",-23.8,149.13,"Eucalyptus melanoleuca -- suffulgens","Angophora",3,4,1
"62","NSW:NSW:NSW 331319",-23.8,149.13,"Eucalyptus melanoleuca -- suffulgens","Angophora",3,4,2
"63","NSW:NSW:NSW 331320",-23.8,149.13,"Eucalyptus melanoleuca -- suffulgens","Angophora",3,4,3
"64","NSW:NSW:NSW 331321",-23.83,149.08,"Eucalyptus melanoleuca -- suffulgens","Angophora",3,4,4
"65","NSW:NSW:NSW 355239",-2.92,141.25,"Eucalyptus deglupta","Minutifructus",4,3,1
"66","NSW:NSW:NSW 355240",-6.1,150.67,"Eucalyptus deglupta","Minutifructus",4,3,2
"67","NSW:NSW:NSW 355377",-26.55,152.87,"Eucalyptus deglupta","Minutifructus",4,3,3
"68","NSW:NSW:NSW 380818",-28.5055556,151.1333333,"Eucalyptus leiocarpa","Angophora",3,1,1
