"","id","decimalLatitude","decimalLongitude","scientificName","Subgenus","speciesNumber"
"1","NSW:NSW:NSW 307238",-25.2,149.97,"Eucalyptus curtisii","Acerosae",1
"2","NSW:NSW:NSW 607121",-29.8172222,152.7980556,"Eucalyptus microcorys","Alveolata",1
"3","NSW:NSW:NSW 353598",-35.13,139.13,"Eucalyptus costata","Angophora",3
"4","NSW:NSW:NSW 380818",-28.5055556,151.1333333,"Eucalyptus leiocarpa","Angophora",3
"5","NSW:NSW:NSW 331321",-23.83,149.08,"Eucalyptus melanoleuca -- suffulgens","Angophora",3
"6","NSW:NSW:NSW 488173",-26.33,150.67,"Eucalyptus tenuipes","Cuboidea",1
"7","NSW:NSW:NSW 825327",-27.5386,152.8575,"Eucalyptus cloeziana","Idiogenes",4
"8","NSW:NSW:NSW 326384",-23.83,149.1,"Eucalyptus contracta","Idiogenes",4
"9","NSW:NSW:NSW 452079",-17.1,145.53,"Eucalyptus irritans","Idiogenes",4
"10","NSW:NSW:NSW 674720",-18.3503,145.2706,"Eucalyptus portuensis","Idiogenes",4
"11","NSW:NSW:NSW 304793",-13.27,131.45,"Eucalyptus brachyandra","Minutifructus",4
"12","NSW:NSW:NSW 355377",-26.55,152.87,"Eucalyptus deglupta","Minutifructus",4
"13","NSW:NSW:NSW 370123",-18.63,145.17,"Eucalyptus howittiana","Minutifructus",4
"14","NSW:NSW:NSW 303324",-21.63,148.85,"Eucalyptus raveretiana","Minutifructus",4
"15","NSW:NSW:NSW 707095",-25.1,149.12,"Eucalyptus rubiginosa","Primitiva",1
